,timestamp,open,high,low,close,volume,daily_return,volatility,SMA_20,SMA_50,golden_cross,death_cross,upper_band,lower_band
0,2023-09-18,1622.48,1669.5,1603.88,1636.66,279041.6978,,,,,False,False,,
1,2023-09-19,1636.66,1661.04,1626.32,1643.12,184282.4258,0.003947062920826472,,,,False,False,,
2,2023-09-20,1643.13,1649.34,1604.51,1622.26,232844.2347,-0.012695360046740323,,,,False,False,,
3,2023-09-21,1622.27,1625.3,1567.77,1583.94,240627.544,-0.023621367721573527,,,,False,False,,
4,2023-09-22,1583.94,1602.68,1576.58,1593.08,124886.091,0.0057704205967397115,,,,False,False,,
5,2023-09-23,1593.07,1598.24,1587.45,1593.86,64537.1341,0.0004896175961031091,,,,False,False,,
6,2023-09-24,1593.85,1601.12,1570.01,1580.71,137517.8533,-0.008250410952028275,,,,False,False,,
7,2023-09-25,1580.71,1597.5,1563.01,1588.33,176706.9277,0.004820618582788594,0.011067307053487867,,,False,False,,
8,2023-09-26,1588.34,1599.78,1580.05,1594.01,125583.0161,0.0035760830557882706,0.011022477848102622,,,False,False,,
9,2023-09-27,1594.02,1634.1,1583.5,1598.64,274404.4328,0.002904624186799376,0.010604903931938407,,,False,False,,
10,2023-09-28,1598.63,1668.21,1598.14,1652.99,331409.7015,0.03399764800080063,0.01312734143115593,,,False,False,,
11,2023-09-29,1653.0,1688.0,1648.37,1667.45,251975.6728,0.008747784318114515,0.013159790972419724,,,False,False,,
12,2023-09-30,1667.45,1694.32,1666.19,1670.89,136924.9141,0.002063030375723418,0.013050770121562739,,,False,False,,
13,2023-10-01,1670.89,1751.0,1668.0,1733.79,225611.5868,0.03764460856190399,0.015505385540176123,,,False,False,,
14,2023-10-02,1733.8,1744.0,1636.79,1662.4,378575.6898,-0.04117569025083767,0.025963325278318725,,,False,False,,
15,2023-10-03,1662.41,1670.65,1643.0,1656.88,198287.1164,-0.0033205004812318917,0.026236467168880402,,,False,False,,
16,2023-10-04,1656.88,1657.66,1625.0,1646.58,222861.7167,-0.006216503307421295,0.02662994211788415,,,False,False,,
17,2023-10-05,1646.58,1655.47,1606.73,1611.79,237378.7449,-0.021128642398182906,0.024533294749436045,,,False,False,,
18,2023-10-06,1611.79,1662.0,1611.68,1645.03,220507.9286,0.0206230340180793,0.025882046234533232,,,False,False,,
19,2023-10-07,1645.03,1647.71,1630.03,1633.57,101241.5732,-0.006966438302037026,0.02589148501722609,1630.799,,False,False,1708.2475246776,1553.3504753224
20,2023-10-08,1633.56,1641.4,1616.17,1632.84,149424.6635,-0.00044687402437604273,0.01903712577620612,1630.608,,False,False,1708.0144951987063,1553.2015048012936
21,2023-10-09,1632.85,1636.0,1546.0,1580.13,340141.0988,-0.03228117880502668,0.016627327401210486,1627.4585000000002,,False,False,1707.7919857820496,1547.1250142179508
22,2023-10-10,1580.13,1594.9,1550.55,1567.63,240659.3287,-0.00791074152126725,0.016543488541187774,1624.727,,False,False,1709.4024554880295,1540.0515445119706
23,2023-10-11,1567.62,1578.43,1544.26,1566.87,260253.9671,-0.00048480827746355537,0.016772929324871236,1623.8735000000001,,False,False,1710.5992801227221,1537.1477198772782
24,2023-10-12,1566.86,1568.56,1521.0,1539.61,237221.4977,-0.017397741995187843,0.016299600753012202,1621.2,,False,False,1714.936034973918,1527.4639650260822
25,2023-10-13,1539.61,1575.36,1537.76,1552.16,192205.8736,0.008151414968726067,0.013248335204438137,1619.1150000000002,,False,False,1717.1673079521174,1521.062692047883
26,2023-10-14,1552.16,1561.72,1544.55,1554.94,100314.6754,0.001791052468817611,0.013785827975792276,1617.8265,,False,False,1718.6421145539703,1517.0108854460295
27,2023-10-15,1554.94,1567.62,1547.44,1557.77,120311.2738,0.001820005916626899,0.0139889033581833,1616.2985,,False,False,1719.8847596608562,1512.712240339144
28,2023-10-16,1557.78,1639.43,1555.06,1599.42,418510.8644,0.02673693805889199,0.013725052342685649,1616.569,,False,False,1719.9382215008131,1513.1997784991868
29,2023-10-17,1599.41,1600.53,1551.08,1565.01,234817.0699,-0.02151404884270558,0.016090812514133898,1614.8875,,False,False,1720.5533221644264,1509.2216778355737
30,2023-10-18,1565.01,1585.42,1555.88,1563.44,177750.2253,-0.001003188478028827,0.016093919984039334,1610.41,,False,False,1716.8639416095548,1503.9560583904454
31,2023-10-19,1563.45,1574.45,1541.61,1566.57,216217.6675,0.0020019955994472483,0.014197969615859368,1605.366,,False,False,1709.9842466524435,1500.7477533475565
32,2023-10-20,1566.57,1630.4,1561.19,1603.89,315995.792,0.023822746509891246,0.01630420609198569,1602.016,,False,False,1701.9875509848462,1502.044449015154
33,2023-10-21,1603.88,1644.53,1592.36,1628.94,176419.4092,0.015618278061463098,0.016710334929559745,1596.7735,,False,False,1676.620479780076,1516.926520219924
34,2023-10-22,1628.94,1667.8,1621.1,1663.7,228650.9225,0.02133903028963613,0.01736001807212661,1596.8385,,False,False,1676.9122163723785,1516.7647836276217
35,2023-10-23,1663.69,1800.0,1657.07,1765.46,610931.9663,0.061164873474785164,0.0258395913111878,1602.2675,,False,False,1709.5740436519422,1494.9609563480576
36,2023-10-24,1765.47,1854.38,1756.21,1784.98,674055.1375,0.011056608475978003,0.020696443983508422,1609.1875,,False,False,1743.0824548792082,1475.2925451207918
37,2023-10-25,1784.98,1817.69,1760.0,1787.15,354410.8294,0.0012156998957972842,0.020350565118703527,1617.9555,,False,False,1773.7445962301615,1462.1664037698386
38,2023-10-26,1787.15,1865.54,1762.21,1803.38,431169.0453,0.00908149847522588,0.019496350189493035,1625.873,,False,False,1802.1975407405573,1449.5484592594428
39,2023-10-27,1803.39,1803.91,1744.66,1779.4,274532.6921,-0.013297252936153248,0.02314045187381559,1633.1645,,False,False,1822.4162726510879,1443.9127273489123
40,2023-10-28,1779.41,1803.23,1770.0,1776.2,122919.7382,-0.0017983589974148728,0.02400422567071526,1640.3325,,False,False,1840.1000245589762,1440.5649754410238
41,2023-10-29,1776.21,1811.3,1762.66,1795.14,144110.6508,0.010663213602071897,0.023699614123393768,1651.083,,False,False,1860.1350506426447,1442.0309493573554
42,2023-10-30,1795.14,1829.84,1777.77,1809.04,277686.192,0.007743128669630117,0.008878867238550914,1663.1535,,False,False,1879.6617619816525,1446.6452380183473
43,2023-10-31,1809.03,1819.41,1780.99,1814.67,258074.5796,0.003112147879538396,0.00824025608121572,1675.5435000000002,,False,False,1897.1532452042081,1453.9337547957923
44,2023-11-01,1814.67,1857.66,1783.19,1846.99,471921.6184,0.017810400789124214,0.010037655489647673,1690.9125,,False,False,1915.444077324415,1466.3809226755848
45,2023-11-02,1846.99,1875.0,1785.01,1800.8,368738.2193,-0.025008256677080065,0.014753158649040154,1703.3445,,False,False,1923.009533364799,1483.679466635201
46,2023-11-03,1800.79,1834.58,1777.11,1832.71,315000.2678,0.01771990226565978,0.014790437932868758,1717.2330000000002,,False,False,1932.4705339112838,1501.9954660887165
47,2023-11-04,1832.7,1869.9,1824.03,1855.54,171538.0364,0.012456962640024827,0.014788952528838223,1732.1215000000004,,False,False,1942.0443982545248,1522.198601745476
48,2023-11-05,1855.54,1912.67,1846.11,1891.71,383106.7628,0.019492977785442456,0.015573241501121547,1746.736,,False,False,1958.449977501426,1535.0220224985742
49,2023-11-06,1891.71,1914.23,1868.48,1900.95,328746.2394,0.004884469606863728,0.015606864138308807,1763.5330000000001,1672.0604,True,False,1967.7120616720135,1559.3539383279867
50,2023-11-07,1900.95,1906.99,1850.32,1885.27,332419.4406,-0.008248507325284704,0.016659211625824805,1779.6245000000004,1677.0326,True,False,1967.4806234982518,1591.768376501749
51,2023-11-08,1885.26,1904.69,1872.51,1888.12,247881.0997,0.001511719806712053,0.015781940671851385,1795.702,1681.9326,True,False,1960.3940368892734,1631.0099631107266
52,2023-11-09,1888.11,2132.0,1882.07,2121.32,1100330.3237,0.12350909899794527,0.04472986870589301,1821.5735,1691.9138,True,False,2018.7562987880685,1624.3907012119314
